battle,clan,start_date,end_date
1,#VQCQQJP,2021-10-11,2022-06-05
1,#2CQQVQCU,2021-10-11,2022-06-05
1,#L0QPV,2021-10-11,2022-06-05
1,#9G2PVP0R,2021-10-11,2022-06-05
1,#QCJ0J9UP,2021-10-11,2022-06-05
1,#P0LLG9RG,2021-10-11,2022-06-05
2,#L0YJ02YL,2020-01-31,2020-03-05
2,#PJY9PP98,2020-01-31,2020-03-05
2,#L0QPV,2020-01-31,2020-03-05
3,#QCJ0J9UP,2020-10-18,2021-10-04
3,#8YLJ8UL2,2020-10-18,2021-10-04
4,#P0LLG9RG,2020-12-26,2021-01-10
4,#8VUVGPVC,2020-12-26,2021-01-10
4,#PPCLCJG9,2020-12-26,2021-01-10
4,#L0QPV,2020-12-26,2021-01-10
4,#PJY9PP98,2020-12-26,2021-01-10
4,#8YLJ8UL2,2020-12-26,2021-01-10
4,#9G2PVP0R,2020-12-26,2021-01-10
4,#8YQ9LPPV,2020-12-26,2021-01-10
4,#VQCQQJP,2020-12-26,2021-01-10
4,#8LGRYC,2020-12-26,2021-01-10
5,#PJY9PP98,2019-01-09,2019-07-02
5,#QCJ0J9UP,2019-01-09,2019-07-02
5,#28V2QQ9C,2019-01-09,2019-07-02
5,#8YQ9LPPV,2019-01-09,2019-07-02
6,#QCJ0J9UP,2020-07-26,2020-08-05
6,#L0QPV,2020-07-26,2020-08-05
6,#8VUVGPVC,2020-07-26,2020-08-05
6,#9QY9JG09,2020-07-26,2020-08-05
6,#L0YJ02YL,2020-07-26,2020-08-05
6,#PPCLCJG9,2020-07-26,2020-08-05
7,#8VUVGPVC,2020-01-15,2020-09-05
7,#L0QPV,2020-01-15,2020-09-05
8,#8YLJ8UL2,2020-11-15,2021-07-10
8,#L0QPV,2020-11-15,2021-07-10
8,#9QY9JG09,2020-11-15,2021-07-10
8,#PPCLCJG9,2020-11-15,2021-07-10
8,#PJY9PP98,2020-11-15,2021-07-10
8,#2CQQVQCU,2020-11-15,2021-07-10
9,#9LP9VCJ8,2019-08-26,2020-09-03
9,#VQCQQJP,2019-08-26,2020-09-03
10,#9QY9JG09,2021-09-09,2022-07-19
10,#L0QPV,2021-09-09,2022-07-19
10,#8VUVGPVC,2021-09-09,2022-07-19
10,#9GUCJRL0,2021-09-09,2022-07-19
10,#2CQQVQCU,2021-09-09,2022-07-19
11,#L0QPV,2021-08-12,2022-09-11
11,#Y0QR0Y2U,2021-08-12,2022-09-11
11,#28V2QQ9C,2021-08-12,2022-09-11
12,#PV2G9U2L,2018-11-14,2019-02-21
12,#PJY9PP98,2018-11-14,2019-02-21
12,#QCJ0J9UP,2018-11-14,2019-02-21
12,#8LGRYC,2018-11-14,2019-02-21
12,#P0LLG9RG,2018-11-14,2019-02-21
12,#2CQQVQCU,2018-11-14,2019-02-21
12,#L0QPV,2018-11-14,2019-02-21
13,#P0LLG9RG,2021-08-24,2021-12-31
13,#PJY9PP98,2021-08-24,2021-12-31
14,#8LGRYC,2020-05-02,2021-02-14
14,#9LP9VCJ8,2020-05-02,2021-02-14
14,#PV2G9U2L,2020-05-02,2021-02-14
14,#P0LLG9RG,2020-05-02,2021-02-14
14,#PJY9PP98,2020-05-02,2021-02-14
14,#8YQ9LPPV,2020-05-02,2021-02-14
15,#PJY9PP98,2020-07-06,2021-01-12
15,#L0QPV,2020-07-06,2021-01-12
15,#28V2QQ9C,2020-07-06,2021-01-12
16,#8VUVGPVC,2021-07-31,2021-12-21
16,#L0QPV,2021-07-31,2021-12-21
16,#9QY9JG09,2021-07-31,2021-12-21
17,#P0LLG9RG,2020-11-09,2021-06-01
17,#PPCLCJG9,2020-11-09,2021-06-01
17,#PJY9PP98,2020-11-09,2021-06-01
18,#9G2PVP0R,2019-02-15,2019-05-23
18,#8YLJ8UL2,2019-02-15,2019-05-23
18,#9QY9JG09,2019-02-15,2019-05-23
18,#8LGRYC,2019-02-15,2019-05-23
18,#9CCJ2R02,2019-02-15,2019-05-23
18,#2CQQVQCU,2019-02-15,2019-05-23
18,#8YQ9LPPV,2019-02-15,2019-05-23
20,#8VUVGPVC,2021-06-05,2021-08-11
20,#Y0QR0Y2U,2021-06-05,2021-08-11
20,#PJY9PP98,2021-06-05,2021-08-11
20,#L0YJ02YL,2021-06-05,2021-08-11
20,#9CCJ2R02,2021-06-05,2021-08-11
21,#QCJ0J9UP,2021-03-27,2021-05-08
21,#2CQQVQCU,2021-03-27,2021-05-08
21,#PJY9PP98,2021-03-27,2021-05-08
21,#L0YJ02YL,2021-03-27,2021-05-08
21,#L0QPV,2021-03-27,2021-05-08
22,#9G2PVP0R,2019-05-15,2020-05-31
22,#PJY9PP98,2019-05-15,2020-05-31
22,#VQCQQJP,2019-05-15,2020-05-31
22,#9GUCJRL0,2019-05-15,2020-05-31
23,#9QY9JG09,2020-05-22,2021-03-16
23,#9LP9VCJ8,2020-05-22,2021-03-16
23,#8YLJ8UL2,2020-05-22,2021-03-16
23,#VQCQQJP,2020-05-22,2021-03-16
23,#28V2QQ9C,2020-05-22,2021-03-16
23,#Y0QR0Y2U,2020-05-22,2021-03-16
24,#8YLJ8UL2,2019-06-18,2020-06-05
24,#QCJ0J9UP,2019-06-18,2020-06-05
24,#9LP9VCJ8,2019-06-18,2020-06-05
24,#8YQ9LPPV,2019-06-18,2020-06-05
24,#9GUCJRL0,2019-06-18,2020-06-05
24,#L0YJ02YL,2019-06-18,2020-06-05
24,#8LGRYC,2019-06-18,2020-06-05
25,#9QY9JG09,2019-04-22,2019-07-10
25,#8LGRYC,2019-04-22,2019-07-10
25,#L0YJ02YL,2019-04-22,2019-07-10
25,#9CCJ2R02,2019-04-22,2019-07-10
25,#PPCLCJG9,2019-04-22,2019-07-10
26,#2CQQVQCU,2020-12-25,2021-05-08
26,#Y0QR0Y2U,2020-12-25,2021-05-08
26,#P0LLG9RG,2020-12-25,2021-05-08
26,#28V2QQ9C,2020-12-25,2021-05-08
26,#8LGRYC,2020-12-25,2021-05-08
28,#Y0QR0Y2U,2020-08-18,2021-02-17
28,#8YLJ8UL2,2020-08-18,2021-02-17
28,#PV2G9U2L,2020-08-18,2021-02-17
29,#9QY9JG09,2021-02-06,2021-08-05
29,#PJY9PP98,2021-02-06,2021-08-05
29,#28V2QQ9C,2021-02-06,2021-08-05
29,#8YLJ8UL2,2021-02-06,2021-08-05
29,#8LGRYC,2021-02-06,2021-08-05
29,#L0YJ02YL,2021-02-06,2021-08-05
29,#PPCLCJG9,2021-02-06,2021-08-05
29,#9GUCJRL0,2021-02-06,2021-08-05
29,#P0LLG9RG,2021-02-06,2021-08-05
29,#Y0QR0Y2U,2021-02-06,2021-08-05
30,#P0LLG9RG,2018-12-29,2019-08-12
30,#9QY9JG09,2018-12-29,2019-08-12
30,#PJY9PP98,2018-12-29,2019-08-12
31,#Y0QR0Y2U,2020-06-26,2021-07-26
31,#PV2G9U2L,2020-06-26,2021-07-26
31,#8YQ9LPPV,2020-06-26,2021-07-26
32,#PPCLCJG9,2021-10-02,2021-12-14
32,#9CCJ2R02,2021-10-02,2021-12-14
32,#QCJ0J9UP,2021-10-02,2021-12-14
32,#8LGRYC,2021-10-02,2021-12-14
32,#8VUVGPVC,2021-10-02,2021-12-14
33,#L0YJ02YL,2019-12-02,2020-05-26
33,#8VUVGPVC,2019-12-02,2020-05-26
33,#VQCQQJP,2019-12-02,2020-05-26
33,#8YQ9LPPV,2019-12-02,2020-05-26
33,#9G2PVP0R,2019-12-02,2020-05-26
33,#9QY9JG09,2019-12-02,2020-05-26
34,#8YLJ8UL2,2018-12-24,2019-09-10
34,#VQCQQJP,2018-12-24,2019-09-10
34,#PPCLCJG9,2018-12-24,2019-09-10
36,#PJY9PP98,2021-08-14,2022-07-28
36,#8YLJ8UL2,2021-08-14,2022-07-28
37,#VQCQQJP,2019-04-04,2019-04-17
37,#8YQ9LPPV,2019-04-04,2019-04-17
37,#P0LLG9RG,2019-04-04,2019-04-17
37,#2CQQVQCU,2019-04-04,2019-04-17
38,#L0QPV,2019-05-03,2020-01-15
38,#8VUVGPVC,2019-05-03,2020-01-15
38,#2CQQVQCU,2019-05-03,2020-01-15
39,#2CQQVQCU,2020-10-08,2021-08-31
39,#Y0QR0Y2U,2020-10-08,2021-08-31
39,#L0QPV,2020-10-08,2021-08-31
39,#8VUVGPVC,2020-10-08,2021-08-31
40,#28V2QQ9C,2019-01-12,2019-06-04
40,#QCJ0J9UP,2019-01-12,2019-06-04
40,#Y0QR0Y2U,2019-01-12,2019-06-04
40,#8YQ9LPPV,2019-01-12,2019-06-04
41,#9QY9JG09,2021-07-09,2021-08-14
41,#PV2G9U2L,2021-07-09,2021-08-14
42,#9CCJ2R02,2019-01-02,2019-06-10
42,#Y0QR0Y2U,2019-01-02,2019-06-10
42,#QCJ0J9UP,2019-01-02,2019-06-10
42,#PV2G9U2L,2019-01-02,2019-06-10
42,#9GUCJRL0,2019-01-02,2019-06-10
42,#8LGRYC,2019-01-02,2019-06-10
42,#9LP9VCJ8,2019-01-02,2019-06-10
42,#L0YJ02YL,2019-01-02,2019-06-10
42,#8YLJ8UL2,2019-01-02,2019-06-10
43,#28V2QQ9C,2020-01-02,2020-06-01
43,#9G2PVP0R,2020-01-02,2020-06-01
43,#L0YJ02YL,2020-01-02,2020-06-01
44,#9G2PVP0R,2020-02-25,2020-04-19
44,#9QY9JG09,2020-02-25,2020-04-19
44,#8LGRYC,2020-02-25,2020-04-19
44,#8VUVGPVC,2020-02-25,2020-04-19
44,#PV2G9U2L,2020-02-25,2020-04-19
45,#P0LLG9RG,2021-04-08,2021-07-08
45,#PJY9PP98,2021-04-08,2021-07-08
45,#8LGRYC,2021-04-08,2021-07-08
45,#2CQQVQCU,2021-04-08,2021-07-08
45,#PPCLCJG9,2021-04-08,2021-07-08
46,#L0YJ02YL,2019-11-11,2020-03-05
46,#8VUVGPVC,2019-11-11,2020-03-05
46,#L0QPV,2019-11-11,2020-03-05
46,#P0LLG9RG,2019-11-11,2020-03-05
47,#PPCLCJG9,2021-07-10,2022-07-18
47,#8LGRYC,2021-07-10,2022-07-18
47,#9LP9VCJ8,2021-07-10,2022-07-18
47,#9QY9JG09,2021-07-10,2022-07-18
47,#8VUVGPVC,2021-07-10,2022-07-18
47,#8YLJ8UL2,2021-07-10,2022-07-18
47,#9CCJ2R02,2021-07-10,2022-07-18
48,#2CQQVQCU,2020-06-04,2020-07-11
48,#9CCJ2R02,2020-06-04,2020-07-11
48,#PPCLCJG9,2020-06-04,2020-07-11
48,#9GUCJRL0,2020-06-04,2020-07-11
49,#8LGRYC,2019-11-22,2020-06-01
49,#L0YJ02YL,2019-11-22,2020-06-01
49,#PPCLCJG9,2019-11-22,2020-06-01
50,#L0YJ02YL,2021-03-16,2022-03-01
50,#VQCQQJP,2021-03-16,2022-03-01
50,#9LP9VCJ8,2021-03-16,2022-03-01
51,#28V2QQ9C,2021-10-09,2022-10-30
51,#PPCLCJG9,2021-10-09,2022-10-30
51,#9LP9VCJ8,2021-10-09,2022-10-30
51,#9G2PVP0R,2021-10-09,2022-10-30
51,#9QY9JG09,2021-10-09,2022-10-30
51,#9CCJ2R02,2021-10-09,2022-10-30
51,#8YQ9LPPV,2021-10-09,2022-10-30
51,#2CQQVQCU,2021-10-09,2022-10-30
51,#9GUCJRL0,2021-10-09,2022-10-30
52,#8LGRYC,2021-08-07,2022-06-30
52,#9CCJ2R02,2021-08-07,2022-06-30
52,#9QY9JG09,2021-08-07,2022-06-30
53,#2CQQVQCU,2019-01-25,2019-05-05
53,#9LP9VCJ8,2019-01-25,2019-05-05
53,#9G2PVP0R,2019-01-25,2019-05-05
53,#9CCJ2R02,2019-01-25,2019-05-05
53,#8LGRYC,2019-01-25,2019-05-05
53,#P0LLG9RG,2019-01-25,2019-05-05
54,#28V2QQ9C,2021-05-25,2022-03-30
54,#8LGRYC,2021-05-25,2022-03-30
54,#PPCLCJG9,2021-05-25,2022-03-30
54,#QCJ0J9UP,2021-05-25,2022-03-30
54,#9QY9JG09,2021-05-25,2022-03-30
55,#PJY9PP98,2021-09-15,2022-08-05
55,#PV2G9U2L,2021-09-15,2022-08-05
55,#9QY9JG09,2021-09-15,2022-08-05
55,#8VUVGPVC,2021-09-15,2022-08-05
55,#8YQ9LPPV,2021-09-15,2022-08-05
56,#8YQ9LPPV,2019-12-24,2020-10-23
56,#PPCLCJG9,2019-12-24,2020-10-23
56,#L0QPV,2019-12-24,2020-10-23
56,#9G2PVP0R,2019-12-24,2020-10-23
57,#L0YJ02YL,2020-05-21,2020-09-28
57,#8YLJ8UL2,2020-05-21,2020-09-28
58,#VQCQQJP,2019-11-10,2020-01-23
58,#9CCJ2R02,2019-11-10,2020-01-23
58,#8YLJ8UL2,2019-11-10,2020-01-23
58,#Y0QR0Y2U,2019-11-10,2020-01-23
58,#9GUCJRL0,2019-11-10,2020-01-23
59,#Y0QR0Y2U,2019-09-22,2020-04-30
59,#L0YJ02YL,2019-09-22,2020-04-30
59,#2CQQVQCU,2019-09-22,2020-04-30
59,#9GUCJRL0,2019-09-22,2020-04-30
59,#8YLJ8UL2,2019-09-22,2020-04-30
60,#9LP9VCJ8,2019-05-19,2020-04-11
60,#PPCLCJG9,2019-05-19,2020-04-11
60,#8VUVGPVC,2019-05-19,2020-04-11
60,#2CQQVQCU,2019-05-19,2020-04-11
61,#8YLJ8UL2,2021-04-23,2021-06-10
61,#8YQ9LPPV,2021-04-23,2021-06-10
61,#9QY9JG09,2021-04-23,2021-06-10
61,#9GUCJRL0,2021-04-23,2021-06-10
61,#PPCLCJG9,2021-04-23,2021-06-10
62,#L0QPV,2021-03-20,2021-05-01
62,#9GUCJRL0,2021-03-20,2021-05-01
62,#2CQQVQCU,2021-03-20,2021-05-01
62,#L0YJ02YL,2021-03-20,2021-05-01
62,#PV2G9U2L,2021-03-20,2021-05-01
63,#9GUCJRL0,2020-04-03,2021-04-08
63,#L0YJ02YL,2020-04-03,2021-04-08
63,#PPCLCJG9,2020-04-03,2021-04-08
63,#9G2PVP0R,2020-04-03,2021-04-08
63,#9LP9VCJ8,2020-04-03,2021-04-08
64,#Y0QR0Y2U,2020-03-22,2020-10-27
64,#8VUVGPVC,2020-03-22,2020-10-27
64,#L0YJ02YL,2020-03-22,2020-10-27
64,#8LGRYC,2020-03-22,2020-10-27
64,#9GUCJRL0,2020-03-22,2020-10-27
65,#8YQ9LPPV,2020-01-31,2020-05-01
65,#VQCQQJP,2020-01-31,2020-05-01
65,#PV2G9U2L,2020-01-31,2020-05-01
65,#L0QPV,2020-01-31,2020-05-01
66,#PV2G9U2L,2020-06-15,2021-02-01
66,#2CQQVQCU,2020-06-15,2021-02-01
66,#9QY9JG09,2020-06-15,2021-02-01
66,#9GUCJRL0,2020-06-15,2021-02-01
67,#9G2PVP0R,2021-03-29,2022-03-19
67,#9CCJ2R02,2021-03-29,2022-03-19
67,#PV2G9U2L,2021-03-29,2022-03-19
67,#9GUCJRL0,2021-03-29,2022-03-19
67,#PJY9PP98,2021-03-29,2022-03-19
67,#8YQ9LPPV,2021-03-29,2022-03-19
67,#9LP9VCJ8,2021-03-29,2022-03-19
67,#2CQQVQCU,2021-03-29,2022-03-19
68,#9CCJ2R02,2019-03-16,2020-03-14
68,#9LP9VCJ8,2019-03-16,2020-03-14
68,#Y0QR0Y2U,2019-03-16,2020-03-14
68,#28V2QQ9C,2019-03-16,2020-03-14
69,#9QY9JG09,2019-01-28,2019-03-17
69,#8YLJ8UL2,2019-01-28,2019-03-17
69,#L0QPV,2019-01-28,2019-03-17
70,#9QY9JG09,2021-06-07,2021-06-25
70,#Y0QR0Y2U,2021-06-07,2021-06-25
70,#28V2QQ9C,2021-06-07,2021-06-25
70,#PV2G9U2L,2021-06-07,2021-06-25
70,#8YQ9LPPV,2021-06-07,2021-06-25
71,#PV2G9U2L,2020-03-11,2021-01-08
71,#Y0QR0Y2U,2020-03-11,2021-01-08
71,#8LGRYC,2020-03-11,2021-01-08
71,#9QY9JG09,2020-03-11,2021-01-08
71,#P0LLG9RG,2020-03-11,2021-01-08
71,#9GUCJRL0,2020-03-11,2021-01-08
72,#9CCJ2R02,2020-05-07,2020-11-16
72,#QCJ0J9UP,2020-05-07,2020-11-16
72,#VQCQQJP,2020-05-07,2020-11-16
72,#PPCLCJG9,2020-05-07,2020-11-16
72,#2CQQVQCU,2020-05-07,2020-11-16
73,#8LGRYC,2021-05-23,2022-05-30
73,#PPCLCJG9,2021-05-23,2022-05-30
73,#9GUCJRL0,2021-05-23,2022-05-30
73,#VQCQQJP,2021-05-23,2022-05-30
74,#VQCQQJP,2019-12-21,2020-01-07
74,#8VUVGPVC,2019-12-21,2020-01-07
74,#28V2QQ9C,2019-12-21,2020-01-07
74,#QCJ0J9UP,2019-12-21,2020-01-07
74,#Y0QR0Y2U,2019-12-21,2020-01-07
75,#8YQ9LPPV,2019-10-27,2020-09-17
75,#L0YJ02YL,2019-10-27,2020-09-17
76,#9QY9JG09,2019-05-14,2019-05-27
76,#P0LLG9RG,2019-05-14,2019-05-27
77,#P0LLG9RG,2021-03-08,2021-08-25
77,#8VUVGPVC,2021-03-08,2021-08-25
77,#2CQQVQCU,2021-03-08,2021-08-25
77,#9LP9VCJ8,2021-03-08,2021-08-25
78,#9QY9JG09,2019-02-11,2019-04-05
78,#9G2PVP0R,2019-02-11,2019-04-05
78,#P0LLG9RG,2019-02-11,2019-04-05
79,#VQCQQJP,2019-08-13,2020-05-10
79,#8YLJ8UL2,2019-08-13,2020-05-10
79,#8YQ9LPPV,2019-08-13,2020-05-10
80,#QCJ0J9UP,2020-09-11,2020-09-21
80,#9G2PVP0R,2020-09-11,2020-09-21
80,#9LP9VCJ8,2020-09-11,2020-09-21
80,#VQCQQJP,2020-09-11,2020-09-21
81,#9CCJ2R02,2021-10-23,2022-11-16
81,#Y0QR0Y2U,2021-10-23,2022-11-16
81,#PV2G9U2L,2021-10-23,2022-11-16
81,#8YQ9LPPV,2021-10-23,2022-11-16
81,#P0LLG9RG,2021-10-23,2022-11-16
82,#L0YJ02YL,2019-06-30,2020-01-25
82,#2CQQVQCU,2019-06-30,2020-01-25
83,#9LP9VCJ8,2020-01-14,2020-08-03
83,#28V2QQ9C,2020-01-14,2020-08-03
83,#Y0QR0Y2U,2020-01-14,2020-08-03
83,#L0QPV,2020-01-14,2020-08-03
83,#8YLJ8UL2,2020-01-14,2020-08-03
84,#9LP9VCJ8,2019-12-07,2020-01-30
84,#Y0QR0Y2U,2019-12-07,2020-01-30
84,#P0LLG9RG,2019-12-07,2020-01-30
84,#9QY9JG09,2019-12-07,2020-01-30
84,#9CCJ2R02,2019-12-07,2020-01-30
85,#L0QPV,2019-02-06,2019-11-27
85,#PJY9PP98,2019-02-06,2019-11-27
85,#8VUVGPVC,2019-02-06,2019-11-27
85,#Y0QR0Y2U,2019-02-06,2019-11-27
85,#VQCQQJP,2019-02-06,2019-11-27
86,#VQCQQJP,2020-06-11,2021-05-09
86,#QCJ0J9UP,2020-06-11,2021-05-09
86,#Y0QR0Y2U,2020-06-11,2021-05-09
86,#PPCLCJG9,2020-06-11,2021-05-09
87,#8YQ9LPPV,2021-09-06,2022-06-30
87,#PV2G9U2L,2021-09-06,2022-06-30
87,#9CCJ2R02,2021-09-06,2022-06-30
87,#8VUVGPVC,2021-09-06,2022-06-30
87,#PJY9PP98,2021-09-06,2022-06-30
87,#8LGRYC,2021-09-06,2022-06-30
88,#P0LLG9RG,2020-12-06,2021-07-30
88,#QCJ0J9UP,2020-12-06,2021-07-30
88,#8YLJ8UL2,2020-12-06,2021-07-30
88,#PPCLCJG9,2020-12-06,2021-07-30
88,#8VUVGPVC,2020-12-06,2021-07-30
88,#2CQQVQCU,2020-12-06,2021-07-30
88,#Y0QR0Y2U,2020-12-06,2021-07-30
89,#P0LLG9RG,2019-02-03,2019-08-28
89,#9LP9VCJ8,2019-02-03,2019-08-28
89,#9G2PVP0R,2019-02-03,2019-08-28
89,#8VUVGPVC,2019-02-03,2019-08-28
90,#8VUVGPVC,2021-10-28,2022-03-14
90,#P0LLG9RG,2021-10-28,2022-03-14
90,#9CCJ2R02,2021-10-28,2022-03-14
91,#PV2G9U2L,2019-07-20,2020-07-28
91,#9G2PVP0R,2019-07-20,2020-07-28
91,#9CCJ2R02,2019-07-20,2020-07-28
91,#8LGRYC,2019-07-20,2020-07-28
91,#8VUVGPVC,2019-07-20,2020-07-28
92,#VQCQQJP,2021-03-06,2021-07-14
92,#L0QPV,2021-03-06,2021-07-14
92,#2CQQVQCU,2021-03-06,2021-07-14
92,#Y0QR0Y2U,2021-03-06,2021-07-14
93,#QCJ0J9UP,2021-03-14,2021-09-30
93,#2CQQVQCU,2021-03-14,2021-09-30
93,#Y0QR0Y2U,2021-03-14,2021-09-30
93,#PPCLCJG9,2021-03-14,2021-09-30
93,#8YQ9LPPV,2021-03-14,2021-09-30
93,#PJY9PP98,2021-03-14,2021-09-30
94,#9LP9VCJ8,2018-12-27,2019-09-12
94,#2CQQVQCU,2018-12-27,2019-09-12
94,#8VUVGPVC,2018-12-27,2019-09-12
94,#9QY9JG09,2018-12-27,2019-09-12
94,#L0YJ02YL,2018-12-27,2019-09-12
94,#P0LLG9RG,2018-12-27,2019-09-12
95,#28V2QQ9C,2021-01-07,2021-06-03
95,#L0YJ02YL,2021-01-07,2021-06-03
95,#QCJ0J9UP,2021-01-07,2021-06-03
96,#9LP9VCJ8,2019-11-23,2020-05-18
96,#9QY9JG09,2019-11-23,2020-05-18
96,#8VUVGPVC,2019-11-23,2020-05-18
97,#VQCQQJP,2019-09-04,2019-12-27
97,#9LP9VCJ8,2019-09-04,2019-12-27
97,#9GUCJRL0,2019-09-04,2019-12-27
97,#8YLJ8UL2,2019-09-04,2019-12-27
97,#QCJ0J9UP,2019-09-04,2019-12-27
98,#L0QPV,2020-12-14,2022-01-06
98,#L0YJ02YL,2020-12-14,2022-01-06
98,#28V2QQ9C,2020-12-14,2022-01-06
98,#PPCLCJG9,2020-12-14,2022-01-06
98,#9LP9VCJ8,2020-12-14,2022-01-06
99,#PV2G9U2L,2020-10-09,2021-04-08
99,#9G2PVP0R,2020-10-09,2021-04-08
99,#9LP9VCJ8,2020-10-09,2021-04-08
100,#QCJ0J9UP,2020-04-22,2020-04-30
100,#PPCLCJG9,2020-04-22,2020-04-30
100,#PV2G9U2L,2020-04-22,2020-04-30
100,#8YQ9LPPV,2020-04-22,2020-04-30
101,#L0QPV,2021-01-22,2021-08-19
101,#PPCLCJG9,2021-01-22,2021-08-19
101,#8VUVGPVC,2021-01-22,2021-08-19
101,#QCJ0J9UP,2021-01-22,2021-08-19
101,#8YLJ8UL2,2021-01-22,2021-08-19
