player_tag,quest_id,quest_title,quest_description,quest_requirement,quest_depends,unlock
#89QYQL20G,90,Laurella,Lyffe,Donate 98 gems,182,2019-10-11
#2R80RVPP,106,Avram,Thraves,Donate 557 gold,,2019-04-25
#2CGUPJJU,79,Alta,Addinall,Donate 1385 gold,9,2020-06-15
#PCRRGRRCV,116,Dionysus,Charity,Donate 549 gems,,2020-07-09
#LJYU90R9Y,187,Dana,Tetla,Donate 954 gems,,2020-03-13
#2QLJPC2R0,126,Yorke,Prazor,Donate 708 gold,14,2021-11-01
#8282YYRL,25,Hephzibah,Kamall,Donate 491 gems,,2018-12-19
#880UQUUQC,18,Brit,Primrose,Donate 98 gems,,2020-06-04
#RGVRQU,163,Abe,Sackler,Donate 1128 gold,,2019-12-10
#9U0C0LRL9,54,Ernestine,Perrott,Donate 1389 gems,,2020-11-17
#8YRJ0928,187,Dana,Tetla,Donate 954 gems,,2019-09-26
#2PVJQC8Y,162,Sherlock,Buckett,Donate 708 gold,,2019-07-16
#2CRGVCU0,78,Hugh,Dziwisz,Donate 1067 gems,,2021-08-05
#9V0PQY2YG,114,Miran,Spillett,Donate 1317 gems,,2019-07-04
#2GQVLYV0U,182,Dell,Jude,Donate 920 gems,,2019-01-25
#29YPQLJG9,51,Tate,Sauvage,Donate 581 gems,94,2021-08-08
#8JG820YQG,119,Pauly,Gilgryst,Donate 149 gold,200,2019-01-15
#PV209YR,66,Trace,Listone,Donate 673 gems,115,2020-09-02
#2Y20C8U0C,123,Theo,Wolfers,Donate 210 gems,,2018-11-26
#92JCC8JUC,11,Lilyan,Gasnell,Donate 427 gold,,2021-07-19
#P89RY20Q,123,Theo,Wolfers,Donate 210 gems,,2020-01-15
#QUV8C89,60,Sherlocke,Fairs,Donate 504 gems,,2021-11-08
#28GG9QJPY,94,Ali,Cooke,Donate 1334 gold,62,2020-11-21
#CLRJ9999,7,Annalise,Reinisch,Donate 1191 gold,31,2020-11-24
#LP098UL8L,22,Beauregard,Blazevic,Donate 663 gold,17,2019-07-10
#2VRVVJL,199,Donovan,Schops,Donate 300 gems,,2021-04-22
#22Y0PU08,109,Winfield,Garaghan,Donate 1245 gold,,2019-06-18
#2UJ0RCCUQ,12,Deerdre,Ballsdon,Donate 829 gems,140,2018-12-14
#8982292LY,32,Abra,Dreng,Donate 1217 gems,79,2021-05-11
#8YPRCLPQ,23,Reese,Tembey,Donate 732 gems,,2021-01-04
#8982QVPQV,189,Gabey,Filipchikov,Donate 162 gold,,2019-08-14
#2LVG2C22U,9,Sharyl,Gimert,Donate 863 gold,,2020-07-31
#8YGR88JJC,195,Hester,Cruickshank,Donate 1134 gold,,2021-05-05
#LY00J89PJ,185,Briano,Pamplin,Donate 823 gold,116,2021-07-15
#2GP88YU0,101,Frank,Syfax,Donate 424 gems,46,2018-11-27
#J9V28UL9,167,Annabella,Chinnick,Donate 855 gems,86,2020-09-10
#280YVGJQU,196,Carlyle,Kauble,Donate 901 gems,18,2019-05-13
#2QYC8YLLG,150,Maggee,Noraway,Donate 852 gems,155,2019-11-30
#2CQV02CYR,182,Dell,Jude,Donate 920 gems,,2020-10-18
#PLLC2VG,168,Evvie,Shortin,Donate 1196 gems,,2020-07-20
#URL0222L,52,Claus,Piniur,Donate 293 gold,95,2020-05-25
#2YCJRP9Q0,168,Evvie,Shortin,Donate 1196 gems,,2019-07-17
#9VY20LY8,131,Zared,Kleinplatz,Donate 931 gold,,2019-02-17
#G82LPRJG,127,Misti,Winterbotham,Donate 1176 gems,187,2019-12-23
#8VLJPL8L2,107,Lynette,Kidman,Donate 667 gold,95,2019-12-25
#Q9PGVUY8,14,Jeane,Jarrard,Donate 416 gems,,2020-06-30
#2QYUL0VCP,185,Briano,Pamplin,Donate 823 gold,116,2020-05-11
#GCVVV8YR,54,Ernestine,Perrott,Donate 1389 gems,,2020-12-07
#228J02890,160,Tracie,Catlette,Donate 855 gems,102,2019-02-22
#228J02890,103,Hanna,Deares,Donate 988 gems,,2019-03-26
#22JY90CP0,176,Rozalin,Tapper,Donate 1462 gold,,2019-05-08
#9LYUG09,18,Brit,Primrose,Donate 98 gems,,2021-01-02
#YU9C2UGL,53,Meagan,Shalliker,Donate 1040 gems,,2020-03-05
#P8YLG882L,167,Annabella,Chinnick,Donate 855 gems,86,2018-12-15
#GVJLCYC,15,Izak,Killiner,Donate 1432 gems,,2020-02-07
#VUJYUJLY,9,Sharyl,Gimert,Donate 863 gold,,2020-10-17
#PJY90J9VL,29,Biron,Dummer,Donate 390 gold,,2019-09-05
#Y9Q2LQJ,63,Jed,Lanham,Donate 1119 gems,,2020-03-18
#80V0JULJ,8,Wainwright,Sodeau,Donate 1068 gems,,2020-10-11
#9UCG09099,113,Oliver,Bethel,Donate 376 gold,133,2021-11-02
#92RUJ8LPP,136,Jewelle,Poolton,Donate 1192 gems,,2021-07-29
#2UV9020RY,1,Jock,Southouse,Donate 832 gold,51,2021-05-03
#2VU9YGCGV,86,Laurie,Cross,Donate 887 gems,161,2019-05-13
#J9URJR90,171,Holmes,Harnwell,Donate 1296 gold,,2020-04-28
#90VLUCGVG,155,Wyn,Kyteley,Donate 748 gold,78,2018-12-26
#2GLLJ9QY,182,Dell,Jude,Donate 920 gems,,2021-07-14
#P02QYPQ8V,35,Tammi,Marchant,Donate 455 gold,,2020-01-09
#2LGUPRCJP,71,Asa,Birkenshaw,Donate 97 gems,,2019-06-24
#828200G2P,179,Craggie,McElwee,Donate 271 gems,,2019-04-23
#9RQ8YRYQL,26,Casey,Guise,Donate 497 gems,,2019-09-17
#9YU9R8J,192,Freddie,Watmore,Donate 1272 gold,,2021-11-23
#2L9VVLUR,116,Dionysus,Charity,Donate 549 gems,,2019-11-06
#2YCJRP9Q0,39,Roman,Lodin,Donate 574 gems,,2021-06-29
#99V99R2PV,177,Merci,Moxson,Donate 893 gems,9,2019-08-08
#PP0UG0CVC,20,Cinderella,Eckert,Donate 1474 gold,,2019-05-22
#92LRGLQ2C,10,Barbra,Fleischmann,Donate 174 gold,,2020-03-14
#2YQP98L8R,60,Sherlocke,Fairs,Donate 504 gems,,2021-06-26
#22Y89Q0LU,89,Angelique,Tosspell,Donate 511 gems,,2019-04-10
#8L000LJ9Y,37,Augusto,Oertzen,Donate 47 gems,185,2019-08-23
#2CUGV2Y98,171,Holmes,Harnwell,Donate 1296 gold,,2020-01-08
#8U2LRYGR,105,Lane,McIlhone,Donate 280 gold,110,2019-10-21
#2YCJRP9Q0,108,Margarita,Fraczak,Donate 1250 gold,,2019-12-22
#RQQQY2L28,160,Tracie,Catlette,Donate 855 gems,102,2020-09-20
#8UYL0GGU0,53,Meagan,Shalliker,Donate 1040 gems,,2020-10-29
#GY9Y8GLG,72,Dorine,Camilleri,Donate 980 gold,,2021-08-22
#8CJ2880VR,118,Neil,Kobpac,Donate 275 gems,,2020-07-13
#GGVRR8V2V,49,Zilvia,Cobelli,Donate 1013 gems,,2021-03-06
#2QRYYR8C,179,Craggie,McElwee,Donate 271 gems,,2019-05-30
#80U2Q9C9Q,106,Avram,Thraves,Donate 557 gold,,2020-08-29
#C2QCRP0J,79,Alta,Addinall,Donate 1385 gold,9,2021-09-29
#P29YGR98,21,Batholomew,Sibbons,Donate 23 gold,,2020-02-25
#CL08URJ,178,Irena,Plaide,Donate 146 gems,,2019-07-04
#JPQPPUJ,67,Vinny,Curtayne,Donate 104 gems,,2021-08-27
#RGVRQU,23,Reese,Tembey,Donate 732 gems,,2020-07-15
#20CLG9VGL,52,Claus,Piniur,Donate 293 gold,95,2019-01-01
#988RL92U,191,Regan,Clues,Donate 762 gold,,2020-12-20
#9JJ0G922G,102,Bennett,Mattes,Donate 276 gems,,2019-06-25
#8UL0P8LQ,192,Freddie,Watmore,Donate 1272 gold,,2020-02-01
#VY9J8ULV,177,Merci,Moxson,Donate 893 gems,9,2019-02-15
#8L2URCCR0,165,Mireielle,Durkin,Donate 589 gold,,2021-10-03
#8L000LJ9Y,19,Bessy,Isaacson,Donate 1318 gold,43,2021-01-11
#LYYQVJ0U,13,Shelagh,Balentyne,Donate 491 gems,,2020-03-30
#CYYVYRY,110,Vincents,Leathard,Donate 618 gold,10,2020-12-29
#90R22UVY,10,Barbra,Fleischmann,Donate 174 gold,,2020-08-09
#L92P8VU9V,53,Meagan,Shalliker,Donate 1040 gems,,2019-08-02
#820PRY28P,105,Lane,McIlhone,Donate 280 gold,110,2020-02-22
#L0L9VJLG9,32,Abra,Dreng,Donate 1217 gems,79,2021-01-26
#2L0CR9C0,92,Adolphe,Pally,Donate 1000 gold,,2020-10-04
#P02QYPQ8V,69,Lorne,Gilberthorpe,Donate 383 gold,,2020-03-22
#8088R0VP,125,Euphemia,Paynes,Donate 244 gold,,2021-07-27
#YRRLCVR9Y,158,Jimmy,Petschelt,Donate 1326 gems,,2019-04-15
#2P2PCQ0JL,100,Ira,Binding,Donate 608 gems,,2020-03-02
#G9GJYYJPU,4,Alexandre,Dartan,Donate 1062 gold,14,2020-03-27
#YC0JJ2PV,100,Ira,Binding,Donate 608 gems,,2019-06-17
#80U90RGV,133,Nicolis,Cornes,Donate 1447 gems,122,2020-06-17
#28CVU99UQ,114,Miran,Spillett,Donate 1317 gems,,2021-02-13
#2CVLVGVRL,139,Tory,Spinella,Donate 783 gems,117,2021-04-10
#80U90RGV,133,Nicolis,Cornes,Donate 1447 gems,122,2019-11-29
#2RQ89029J,74,Frasco,Cockren,Donate 41 gems,,2020-12-01
#G9GVYLQP,47,Melisandra,Franklin,Donate 1192 gems,13,2021-05-07
#P2RUVC9VR,117,Carlee,Blasetti,Donate 557 gems,,2021-02-26
#2YLCVUYYP,98,Roberto,Aspinal,Donate 751 gold,,2019-12-19
#G2RPJVRJ,183,Margarethe,Byas,Donate 1439 gold,162,2019-07-23
#8YRJ0928,128,Letisha,Vaney,Donate 1377 gold,,2020-12-17
#8ULGU0QG9,29,Biron,Dummer,Donate 390 gold,,2021-03-18
#LUGVG9PC,126,Yorke,Prazor,Donate 708 gold,14,2021-07-26
#2RLGQGLC,7,Annalise,Reinisch,Donate 1191 gold,31,2020-06-16
#UUY9VG09,4,Alexandre,Dartan,Donate 1062 gold,14,2020-07-06
#9YGJG8LP,183,Margarethe,Byas,Donate 1439 gold,162,2019-06-28
#8CJ2880VR,95,Gavra,Isson,Donate 1359 gold,189,2020-06-27
#288CUPUPP,52,Claus,Piniur,Donate 293 gold,95,2020-11-21
#LRUQQPVU,120,Zeb,Dikle,Donate 1340 gold,145,2019-12-25
#8982QVPQV,156,Shel,Twiggs,Donate 879 gems,,2021-05-15
#282UV0GQG,107,Lynette,Kidman,Donate 667 gold,95,2021-06-16
#YL098VV8P,61,Marion,Mayor,Donate 845 gold,,2019-06-08
#2YP2UJJ0U,120,Zeb,Dikle,Donate 1340 gold,145,2021-05-09
#YVCPCRR,42,Lu,Reeve,Donate 289 gems,,2021-05-05
#YC9GR0RGQ,114,Miran,Spillett,Donate 1317 gems,,2018-11-26
#22RPYRV99,76,Mattheus,Spinige,Donate 1303 gems,49,2020-09-06
#9PRCYU8U,199,Donovan,Schops,Donate 300 gems,,2019-01-30
#C82Q9U,94,Ali,Cooke,Donate 1334 gold,62,2019-12-04
#J002G8UV,89,Angelique,Tosspell,Donate 511 gems,,2020-02-09
#2YJCGYVQ8,197,Reginald,Lantry,Donate 771 gold,,2019-03-09
#90PUP92J,1,Jock,Southouse,Donate 832 gold,51,2021-04-29
#9UCG09099,134,Fania,Rubinovitch,Donate 849 gold,40,2019-07-23
#R99YPV2Y,31,Helyn,Corhard,Donate 1335 gems,54,2021-02-08
#9PYJVPPLV,23,Reese,Tembey,Donate 732 gems,,2020-01-25
#LRYQU2V,64,Florian,Genty,Donate 488 gems,,2020-05-24
#820UJQUYY,92,Adolphe,Pally,Donate 1000 gold,,2019-02-17
#YG9UL29R0,129,Cob,Thackeray,Donate 600 gems,,2019-01-31
#28LUR080P,13,Shelagh,Balentyne,Donate 491 gems,,2020-08-21
#CJJVYY28,122,Bryan,Eccleston,Donate 1047 gems,,2021-08-05
#GY2VG2U0,65,Royall,Peacher,Donate 397 gold,,2019-03-11
#9CCL0VU,172,Kelvin,Guilbert,Donate 758 gold,,2019-03-02
#G2RPJVRJ,72,Dorine,Camilleri,Donate 980 gold,,2019-03-29
#P8YLG882L,94,Ali,Cooke,Donate 1334 gold,62,2020-04-11
#L98JYVL,180,Meier,Ashfull,Donate 594 gems,82,2021-01-03
#2PPRU8QU0,60,Sherlocke,Fairs,Donate 504 gems,,2020-03-24
#LRYQU2V,198,Garrik,Canepe,Donate 1035 gold,,2021-04-21
#9C2YV2RQ,165,Mireielle,Durkin,Donate 589 gold,,2019-11-07
#U9PU9LQV,64,Florian,Genty,Donate 488 gems,,2019-12-07
#20YGVQR0R,41,Katey,Hinchon,Donate 352 gold,,2019-07-28
#22Y89Q0LU,70,Madelena,Jeffree,Donate 431 gems,148,2020-08-20
#P8C8JRV,174,Josiah,Clulow,Donate 1074 gold,,2020-12-23
#80J0P829U,51,Tate,Sauvage,Donate 581 gems,94,2020-02-12
#2PV0VYGLV,81,Loutitia,Ashmore,Donate 719 gold,151,2020-04-19
#2CQG98PP0,30,Monah,Alldread,Donate 616 gems,,2020-09-30
#2R98U2C9C,168,Evvie,Shortin,Donate 1196 gems,,2019-02-09
#Y2PULV0LV,92,Adolphe,Pally,Donate 1000 gold,,2021-08-03
#YYJUJUQG,57,Andrus,Le Estut,Donate 231 gems,,2018-12-30
#8LULYQ82Q,11,Lilyan,Gasnell,Donate 427 gold,,2021-06-20
#98UCCVRRJ,191,Regan,Clues,Donate 762 gold,,2020-01-21
#QV2PYL,112,Erastus,Flemming,Donate 177 gold,44,2019-12-17
#P8YUYYGPQ,186,Petey,Kenington,Donate 1009 gems,,2021-07-15
#82G9G90Y9,82,Cornall,Meeny,Donate 620 gems,95,2020-02-11
#8YRGR00G,171,Holmes,Harnwell,Donate 1296 gold,,2020-03-26
#CYRL0RY2,161,Birgitta,Tippin,Donate 1435 gold,,2019-05-11
#JVJGJLVC,75,Duane,Pickworth,Donate 782 gems,107,2019-06-09
#PP2GQ88U,49,Zilvia,Cobelli,Donate 1013 gems,,2020-10-27
#2R80RVPP,33,Roma,Zecchinelli,Donate 336 gems,198,2021-05-26
#VY9J8ULV,85,Madison,Mullen,Donate 563 gems,63,2020-01-25
#9RGPC2GG,162,Sherlock,Buckett,Donate 708 gold,,2019-11-02
#UUQQJ2U0,69,Lorne,Gilberthorpe,Donate 383 gold,,2020-07-18
#PLVU202JY,32,Abra,Dreng,Donate 1217 gems,79,2019-07-17
#V29RYRCC,198,Garrik,Canepe,Donate 1035 gold,,2019-12-31
#P8YUYYGPQ,155,Wyn,Kyteley,Donate 748 gold,78,2019-01-17
#YG2UVPPRQ,1,Jock,Southouse,Donate 832 gold,51,2020-06-01
#VPC9RRQ,107,Lynette,Kidman,Donate 667 gold,95,2019-07-01
#GGVRR8V2V,123,Theo,Wolfers,Donate 210 gems,,2019-03-07
#8UL0P8LQ,48,Eduardo,Winskill,Donate 217 gold,,2019-11-24
#8YL988LL8,152,Marielle,Justice,Donate 1142 gold,192,2020-02-26
#J8QPJY8Q,170,Hugibert,Janczak,Donate 1293 gems,191,2021-11-05
#988RL92U,82,Cornall,Meeny,Donate 620 gems,95,2021-10-12
#998LUCJC,200,Letizia,Arno,Donate 1160 gold,110,2020-08-20
#8088R0VP,47,Melisandra,Franklin,Donate 1192 gems,13,2021-01-30
#22UCVR0CL,166,Bernadine,Hutchence,Donate 452 gold,174,2019-08-03
#LP8YG2RP,100,Ira,Binding,Donate 608 gems,,2020-08-17
#Q0CPPQC9Q,125,Euphemia,Paynes,Donate 244 gold,,2020-08-07
#YQ9QYJGP,74,Frasco,Cockren,Donate 41 gems,,2019-12-11
#222VRRYJ,19,Bessy,Isaacson,Donate 1318 gold,43,2019-12-19
#PCC2V0CV2,190,Lavena,Scarth,Donate 528 gold,,2021-11-05
#28CVU99UQ,130,Elmo,Gluyas,Donate 107 gems,150,2020-08-25
#L2UR0Y0J,192,Freddie,Watmore,Donate 1272 gold,,2021-11-11
#8UJQPR22,186,Petey,Kenington,Donate 1009 gems,,2020-08-13
#29VGUQL00,70,Madelena,Jeffree,Donate 431 gems,148,2021-04-24
#2C098VPL,154,Darill,Yarker,Donate 1222 gold,116,2020-06-17
#28PQ9GJG9,175,Wat,Deighan,Donate 236 gold,27,2020-01-03
#Y2LJYGUP,12,Deerdre,Ballsdon,Donate 829 gems,140,2021-01-03
#8J2PRR9Y,99,Camila,Jamblin,Donate 1281 gems,157,2020-10-10
#Q89VPVUP8,30,Monah,Alldread,Donate 616 gems,,2020-07-07
#YL9CCGU2V,73,Hoyt,Shingfield,Donate 653 gems,,2021-03-28
#VY9J8ULV,157,Romain,Bater,Donate 1470 gems,,2019-05-29
#9Q8UCU0Q0,92,Adolphe,Pally,Donate 1000 gold,,2020-08-24
#P8QP0LUPV,140,Rusty,Helleker,Donate 255 gold,87,2020-06-25
#L09YGU9,124,Tiffi,Authers,Donate 1495 gems,,2021-04-01
#P8J2V2CQ,64,Florian,Genty,Donate 488 gems,,2020-12-17
#8CC9JYG2,144,Archibold,Okker,Donate 350 gold,,2020-07-30
#YU28V0LP,103,Hanna,Deares,Donate 988 gems,,2019-11-21
#9QULGU02,10,Barbra,Fleischmann,Donate 174 gold,,2020-01-27
#9RJQ0YG9R,14,Jeane,Jarrard,Donate 416 gems,,2019-07-26
#Q9GV0Y8Y,62,Taryn,Foxhall,Donate 367 gems,,2018-12-17
#2LGUPRCJP,107,Lynette,Kidman,Donate 667 gold,95,2021-07-27
#PG9CR2RC,174,Josiah,Clulow,Donate 1074 gold,,2021-04-02
#9QY0RR29,52,Claus,Piniur,Donate 293 gold,95,2019-12-01
#8UQVQ02G,101,Frank,Syfax,Donate 424 gems,46,2021-09-05
#888ULGY,148,Rollie,Rose,Donate 640 gems,,2020-02-05
#80J0P829U,38,Roma,Grubey,Donate 720 gems,,2020-03-31
#20RJCRLL9,127,Misti,Winterbotham,Donate 1176 gems,187,2020-04-18
#8QR8V08YG,144,Archibold,Okker,Donate 350 gold,,2019-02-15
#LLGPYL2G,81,Loutitia,Ashmore,Donate 719 gold,151,2020-06-11
#VGR9CL0G,108,Margarita,Fraczak,Donate 1250 gold,,2020-01-10
#8YYYUVRQ,200,Letizia,Arno,Donate 1160 gold,110,2020-08-29
#22VYU02RR,101,Frank,Syfax,Donate 424 gems,46,2019-04-24
#892P2JPGY,149,Dorelle,Joontjes,Donate 129 gems,,2018-12-08
#8YPRCLPQ,165,Mireielle,Durkin,Donate 589 gold,,2019-10-09
#Y0JVJL9P,128,Letisha,Vaney,Donate 1377 gold,,2019-10-15
#2V9LQ2YUG,32,Abra,Dreng,Donate 1217 gems,79,2021-07-02
#2VC0RUVVR,174,Josiah,Clulow,Donate 1074 gold,,2019-03-31
#2QCLLQ2G,33,Roma,Zecchinelli,Donate 336 gems,198,2019-06-07
#8C8QJR9JG,186,Petey,Kenington,Donate 1009 gems,,2021-07-08
#2Y20C8U0C,28,Templeton,Baiden,Donate 1486 gems,,2020-12-20
#UJVJJ0LU,52,Claus,Piniur,Donate 293 gold,95,2020-08-16
#C0PPG0,106,Avram,Thraves,Donate 557 gold,,2021-08-11
#2QCPVQC0Y,189,Gabey,Filipchikov,Donate 162 gold,,2020-07-05
#8PGR0RPCU,114,Miran,Spillett,Donate 1317 gems,,2019-01-02
#92P8RR8LP,40,Burlie,Larcombe,Donate 353 gold,,2021-07-18
#JLCJCUPJ,117,Carlee,Blasetti,Donate 557 gems,,2020-11-28
#29C2U2QPP,87,David,Forrington,Donate 218 gems,,2020-05-17
#2RQ89029J,195,Hester,Cruickshank,Donate 1134 gold,,2018-12-07
#22R2JCR2C,199,Donovan,Schops,Donate 300 gems,,2019-07-22
#PP2GQ88U,179,Craggie,McElwee,Donate 271 gems,,2020-03-07
